Municipi,Comarca,Capital,Provincia
Abella de la Conca,Pallars Jussà,Tremp,Lleida
Castell de Mur,Pallars Jussà,Tremp,Lleida
Conca de Dalt,Pallars Jussà,Tremp,Lleida
Gavet de la Conca,Pallars Jussà,Tremp,Lleida
Isona i Conca Dellà,Pallars Jussà,Tremp,Lleida
la Pobla de Segur,Pallars Jussà,Tremp,Lleida
la Torre de Cabdella,Pallars Jussà,Tremp,Lleida
Llimiana,Pallars Jussà,Tremp,Lleida
Salàs de Pallars,Pallars Jussà,Tremp,Lleida
Sant Esteve de la Sarga,Pallars Jussà,Tremp,Lleida
Sarroca de Bellera,Pallars Jussà,Tremp,Lleida
Senterada,Pallars Jussà,Tremp,Lleida
Talarn,Pallars Jussà,Tremp,Lleida
Tremp,Pallars Jussà,Tremp,Lleida
Abrera,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Begues,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Castelldefels,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Castellví de Rosanes,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Cervelló,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Collbató,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Corbera de Llobregat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Cornellà de Llobregat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
el Papiol,Baix Llobregat,St. Feliu de Llobregat,Barcelona
el Prat de Llobregat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Esparreguera,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Esplugues de Llobregat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Gavà,Baix Llobregat,St. Feliu de Llobregat,Barcelona
la Palma de Cervelló,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Martorell,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Molins de Rei,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Olesa de Montserrat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Pallejà,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Sant Andreu de la Barca,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Sant Boi de Llobregat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Sant Climent de Llobregat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Sant Esteve Sesrovires,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Sant Feliu de Llobregat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Sant Joan Despí,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Sant Just Desvern,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Sant Vicenç dels Horts,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Santa Coloma de Cervelló,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Torrelles de Llobregat,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Vallirana,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Viladecans,Baix Llobregat,St. Feliu de Llobregat,Barcelona
Àger,Noguera,Balaguer,Lleida
Albesa,Noguera,Balaguer,Lleida
Algerri,Noguera,Balaguer,Lleida
Alòs de Balaguer,Noguera,Balaguer,Lleida
Artesa de Segre,Noguera,Balaguer,Lleida
Balaguer,Noguera,Balaguer,Lleida
Bellcaire d'Urgell,Noguera,Balaguer,Lleida
Bellmunt d'Urgell,Noguera,Balaguer,Lleida
Cabanabona,Noguera,Balaguer,Lleida
Camarasa,Noguera,Balaguer,Lleida
Castelló de Farfanya,Noguera,Balaguer,Lleida
Cubells,Noguera,Balaguer,Lleida
Foradada,Noguera,Balaguer,Lleida
Ivars de Noguera,Noguera,Balaguer,Lleida
la Baronia de Rialb,Noguera,Balaguer,Lleida
la Sentiu de Sió,Noguera,Balaguer,Lleida
les Avellanes i Santa Linya,Noguera,Balaguer,Lleida
Menàrguens,Noguera,Balaguer,Lleida
Montgai,Noguera,Balaguer,Lleida
Oliola,Noguera,Balaguer,Lleida
Os de Balaguer,Noguera,Balaguer,Lleida
Penelles,Noguera,Balaguer,Lleida
Ponts,Noguera,Balaguer,Lleida
Preixens,Noguera,Balaguer,Lleida
Térmens,Noguera,Balaguer,Lleida
Tiurana,Noguera,Balaguer,Lleida
Torrelameu,Noguera,Balaguer,Lleida
Vallfogona de Balaguer,Noguera,Balaguer,Lleida
Vilanova de l'Aguda,Noguera,Balaguer,Lleida
Vilanova de Meià,Noguera,Balaguer,Lleida
Agramunt,Urgell,Tàrrega,Lleida
Anglesola,Urgell,Tàrrega,Lleida
Belianes,Urgell,Tàrrega,Lleida
Bellpuig,Urgell,Tàrrega,Lleida
Castellserà,Urgell,Tàrrega,Lleida
Ciutadilla,Urgell,Tàrrega,Lleida
els Omells de na Gaia,Urgell,Tàrrega,Lleida
Guimerà,Urgell,Tàrrega,Lleida
la Fuliola,Urgell,Tàrrega,Lleida
Maldà,Urgell,Tàrrega,Lleida
Nalec,Urgell,Tàrrega,Lleida
Ossó de Sió,Urgell,Tàrrega,Lleida
Preixana,Urgell,Tàrrega,Lleida
Puigverd d'Agramunt,Urgell,Tàrrega,Lleida
Sant Martí de Riucorb,Urgell,Tàrrega,Lleida
Tàrrega,Urgell,Tàrrega,Lleida
Tornabous,Urgell,Tàrrega,Lleida
Vallbona de les Monges,Urgell,Tàrrega,Lleida
Verdú,Urgell,Tàrrega,Lleida
Vilagrassa,Urgell,Tàrrega,Lleida
Aguilar de Segarra,Bages,Manresa,Barcelona
Artés,Bages,Manresa,Barcelona
Avinyó,Bages,Manresa,Barcelona
Balsareny,Bages,Manresa,Barcelona
Callús,Bages,Manresa,Barcelona
Cardona,Bages,Manresa,Barcelona
Castellbell i el Vilar,Bages,Manresa,Barcelona
Castellfollit del Boix,Bages,Manresa,Barcelona
Castellgalí,Bages,Manresa,Barcelona
Castellnou de Bages,Bages,Manresa,Barcelona
el Pont de Vilomara i Rocafort,Bages,Manresa,Barcelona
Fonollosa,Bages,Manresa,Barcelona
Gaià,Bages,Manresa,Barcelona
Manresa,Bages,Manresa,Barcelona
Marganell,Bages,Manresa,Barcelona
Monistrol de Montserrat,Bages,Manresa,Barcelona
Mura,Bages,Manresa,Barcelona
Navarcles,Bages,Manresa,Barcelona
Navars,Bages,Manresa,Barcelona
Rajadell,Bages,Manresa,Barcelona
Sallent,Bages,Manresa,Barcelona
Sant Feliu Sasserra,Bages,Manresa,Barcelona
Sant Fruitós de Bages,Bages,Manresa,Barcelona
Sant Joan de Vilatorrada,Bages,Manresa,Barcelona
Sant Mateu de Bages,Bages,Manresa,Barcelona
Sant Salvador de Guardiola,Bages,Manresa,Barcelona
Sant Vicenç de Castellet,Bages,Manresa,Barcelona
Santpedor,Bages,Manresa,Barcelona
Súria,Bages,Manresa,Barcelona
Talamanca,Bages,Manresa,Barcelona
Agullana,Alt Empordà,Figueres,Girona
Albanyà,Alt Empordà,Figueres,Girona
Avinyonet de Puigventós,Alt Empordà,Figueres,Girona
Bàscara,Alt Empordà,Figueres,Girona
Biure,Alt Empordà,Figueres,Girona
Boadella i les Escaules,Alt Empordà,Figueres,Girona
Borrassà,Alt Empordà,Figueres,Girona
Cabanelles,Alt Empordà,Figueres,Girona
Cabanes,Alt Empordà,Figueres,Girona
Cadaqués,Alt Empordà,Figueres,Girona
Campmany,Alt Empordà,Figueres,Girona
Cantallops,Alt Empordà,Figueres,Girona
Castelló d'Empúries,Alt Empordà,Figueres,Girona
Cistella,Alt Empordà,Figueres,Girona
Colera,Alt Empordà,Figueres,Girona
Darnius,Alt Empordà,Figueres,Girona
el Far d'Empordà,Alt Empordà,Figueres,Girona
el Port de la Selva,Alt Empordà,Figueres,Girona
Espolla,Alt Empordà,Figueres,Girona
Figueres,Alt Empordà,Figueres,Girona
Fortià,Alt Empordà,Figueres,Girona
Garrigàs,Alt Empordà,Figueres,Girona
Garriguella,Alt Empordà,Figueres,Girona
l'Armentera,Alt Empordà,Figueres,Girona
l'Escala,Alt Empordà,Figueres,Girona
la Jonquera,Alt Empordà,Figueres,Girona
la Selva de Mar,Alt Empordà,Figueres,Girona
la Vajol,Alt Empordà,Figueres,Girona
Lladó,Alt Empordà,Figueres,Girona
Llançà,Alt Empordà,Figueres,Girona
Llers,Alt Empordà,Figueres,Girona
Maçanet de Cabrenys,Alt Empordà,Figueres,Girona
Masarac,Alt Empordà,Figueres,Girona
Mollet de Peralada,Alt Empordà,Figueres,Girona
Navata,Alt Empordà,Figueres,Girona
Ordis,Alt Empordà,Figueres,Girona
Palau de Santa Eulàlia,Alt Empordà,Figueres,Girona
Palau-saverdera,Alt Empordà,Figueres,Girona
Pau,Alt Empordà,Figueres,Girona
Pedret i Marzà,Alt Empordà,Figueres,Girona
Peralada,Alt Empordà,Figueres,Girona
Pont de Molins,Alt Empordà,Figueres,Girona
Pontós,Alt Empordà,Figueres,Girona
Portbou,Alt Empordà,Figueres,Girona
Rabós,Alt Empordà,Figueres,Girona
Riumors,Alt Empordà,Figueres,Girona
Roses,Alt Empordà,Figueres,Girona
Sant Climent Sescebes,Alt Empordà,Figueres,Girona
Sant Llorenç de la Muga,Alt Empordà,Figueres,Girona
Sant Miquel de Fluvià,Alt Empordà,Figueres,Girona
Sant Mori,Alt Empordà,Figueres,Girona
Sant Pere Pescador,Alt Empordà,Figueres,Girona
Santa Llogaia d'Àlguema,Alt Empordà,Figueres,Girona
"Saus, Camallera i Llampaies",Alt Empordà,Figueres,Girona
Siurana,Alt Empordà,Figueres,Girona
Terrades,Alt Empordà,Figueres,Girona
Torroella de Fluvià,Alt Empordà,Figueres,Girona
Ventalló,Alt Empordà,Figueres,Girona
Vila-sacra,Alt Empordà,Figueres,Girona
Vilabertran,Alt Empordà,Figueres,Girona
Viladamat,Alt Empordà,Figueres,Girona
Vilafant,Alt Empordà,Figueres,Girona
Vilajuïga,Alt Empordà,Figueres,Girona
Vilamacolum,Alt Empordà,Figueres,Girona
Vilamalla,Alt Empordà,Figueres,Girona
Vilamaniscle,Alt Empordà,Figueres,Girona
Vilanant,Alt Empordà,Figueres,Girona
Vilaür,Alt Empordà,Figueres,Girona
Aiguafreda,Vallès Oriental,Granollers,Barcelona
Bigues i Riells,Vallès Oriental,Granollers,Barcelona
Caldes de Montbui,Vallès Oriental,Granollers,Barcelona
Campins,Vallès Oriental,Granollers,Barcelona
Canovelles,Vallès Oriental,Granollers,Barcelona
Cànoves i Samalús,Vallès Oriental,Granollers,Barcelona
Cardedeu,Vallès Oriental,Granollers,Barcelona
el Figueró i Montmany,Vallès Oriental,Granollers,Barcelona
Fogars de Montclús,Vallès Oriental,Granollers,Barcelona
Granollers,Vallès Oriental,Granollers,Barcelona
Gualba,Vallès Oriental,Granollers,Barcelona
l'Ametlla del Vallès,Vallès Oriental,Granollers,Barcelona
la Garriga,Vallès Oriental,Granollers,Barcelona
la Llagosta,Vallès Oriental,Granollers,Barcelona
la Roca del Vallès,Vallès Oriental,Granollers,Barcelona
les Franqueses del Vallès,Vallès Oriental,Granollers,Barcelona
Lliçà d'Amunt,Vallès Oriental,Granollers,Barcelona
Lliçà de Vall,Vallès Oriental,Granollers,Barcelona
Llinars del Vallès,Vallès Oriental,Granollers,Barcelona
Martorelles,Vallès Oriental,Granollers,Barcelona
Mollet del Vallès,Vallès Oriental,Granollers,Barcelona
Montmeló,Vallès Oriental,Granollers,Barcelona
Montornès del Vallès,Vallès Oriental,Granollers,Barcelona
Montseny,Vallès Oriental,Granollers,Barcelona
Parets del Vallès,Vallès Oriental,Granollers,Barcelona
Sant Antoni de Vilamajor,Vallès Oriental,Granollers,Barcelona
Sant Esteve de Palautordera,Vallès Oriental,Granollers,Barcelona
Sant Feliu de Codines,Vallès Oriental,Granollers,Barcelona
Sant Fost de Campsentelles,Vallès Oriental,Granollers,Barcelona
Sant Pere de Vilamajor,Vallès Oriental,Granollers,Barcelona
Santa Eulàlia de Ronçana,Vallès Oriental,Granollers,Barcelona
Santa Maria de Martorelles,Vallès Oriental,Granollers,Barcelona
Santa Maria de Palautordera,Vallès Oriental,Granollers,Barcelona
Tagamanent,Vallès Oriental,Granollers,Barcelona
Vallgorguina,Vallès Oriental,Granollers,Barcelona
Vallromanes,Vallès Oriental,Granollers,Barcelona
Vilalba Sasserra,Vallès Oriental,Granollers,Barcelona
Vilanova del Vallès,Vallès Oriental,Granollers,Barcelona
Aiguamúrcia,Alt Camp,Valls,Tarragona
Alcover,Alt Camp,Valls,Tarragona
Alió,Alt Camp,Valls,Tarragona
Bràfim,Alt Camp,Valls,Tarragona
Cabra del Camp,Alt Camp,Valls,Tarragona
el Milà,Alt Camp,Valls,Tarragona
el Pla de Santa Maria,Alt Camp,Valls,Tarragona
el Pont d'Armentera,Alt Camp,Valls,Tarragona
el Rourell,Alt Camp,Valls,Tarragona
els Garidells,Alt Camp,Valls,Tarragona
Figuerola del Camp,Alt Camp,Valls,Tarragona
la Masó,Alt Camp,Valls,Tarragona
la Riba,Alt Camp,Valls,Tarragona
Mont-ral,Alt Camp,Valls,Tarragona
Montferri,Alt Camp,Valls,Tarragona
Nulles,Alt Camp,Valls,Tarragona
Puigpelat,Alt Camp,Valls,Tarragona
Querol,Alt Camp,Valls,Tarragona
Rodonyà,Alt Camp,Valls,Tarragona
Vallmoll,Alt Camp,Valls,Tarragona
Valls,Alt Camp,Valls,Tarragona
Vila-rodona,Alt Camp,Valls,Tarragona
Vilabella,Alt Camp,Valls,Tarragona
Aiguaviva,Gironès,Girona,Girona
Bescanó,Gironès,Girona,Girona
Bordils,Gironès,Girona,Girona
Campllong,Gironès,Girona,Girona
Canet d'Adri,Gironès,Girona,Girona
Cassà de la Selva,Gironès,Girona,Girona
Celrà,Gironès,Girona,Girona
Cervià de Ter,Gironès,Girona,Girona
Flaçà,Gironès,Girona,Girona
Fornells de la Selva,Gironès,Girona,Girona
Girona,Gironès,Girona,Girona
Juià,Gironès,Girona,Girona
Llagostera,Gironès,Girona,Girona
Llambilles,Gironès,Girona,Girona
Madremanya,Gironès,Girona,Girona
Quart,Gironès,Girona,Girona
Salt,Gironès,Girona,Girona
Sant Andreu Salou,Gironès,Girona,Girona
Sant Gregori,Gironès,Girona,Girona
Sant Joan de Mollet,Gironès,Girona,Girona
Sant Jordi Desvalls,Gironès,Girona,Girona
Sant Julià de Ramis,Gironès,Girona,Girona
Sant Martí de Llémena,Gironès,Girona,Girona
Sant Martí Vell,Gironès,Girona,Girona
Sarrià de Ter,Gironès,Girona,Girona
Vilablareix,Gironès,Girona,Girona
Viladasens,Gironès,Girona,Girona
Aitona,Segrià,Lleida,Lleida
Albatàrrec,Segrià,Lleida,Lleida
Alcanó,Segrià,Lleida,Lleida
Alcarràs,Segrià,Lleida,Lleida
Alcoletge,Segrià,Lleida,Lleida
Alfarràs,Segrià,Lleida,Lleida
Alfés,Segrià,Lleida,Lleida
Alguaire,Segrià,Lleida,Lleida
Almacelles,Segrià,Lleida,Lleida
Almatret,Segrià,Lleida,Lleida
Almenar,Segrià,Lleida,Lleida
Alpicat,Segrià,Lleida,Lleida
Artesa de Lleida,Segrià,Lleida,Lleida
Aspa,Segrià,Lleida,Lleida
Benavent de Segrià,Segrià,Lleida,Lleida
Corbins,Segrià,Lleida,Lleida
els Alamús,Segrià,Lleida,Lleida
Gimenells i el Pla de la Font,Segrià,Lleida,Lleida
la Granja d'Escarp,Segrià,Lleida,Lleida
la Portella,Segrià,Lleida,Lleida
Llardecans,Segrià,Lleida,Lleida
Lleida,Segrià,Lleida,Lleida
Maials,Segrià,Lleida,Lleida
Massalcoreig,Segrià,Lleida,Lleida
Montoliu de Lleida,Segrià,Lleida,Lleida
Puigverd de Lleida,Segrià,Lleida,Lleida
Rosselló,Segrià,Lleida,Lleida
Sarroca de Lleida,Segrià,Lleida,Lleida
Seròs,Segrià,Lleida,Lleida
Soses,Segrià,Lleida,Lleida
Sudanell,Segrià,Lleida,Lleida
Sunyer,Segrià,Lleida,Lleida
Torre-serona,Segrià,Lleida,Lleida
Torrebesses,Segrià,Lleida,Lleida
Torrefarrera,Segrià,Lleida,Lleida
Torres de Segre,Segrià,Lleida,Lleida
Vilanova de la Barca,Segrià,Lleida,Lleida
Vilanova de Segrià,Segrià,Lleida,Lleida
Alàs i Cerc,Alt Urgell,La Seu d'Urgell,Lleida
Arsèguel,Alt Urgell,La Seu d'Urgell,Lleida
Bassella,Alt Urgell,La Seu d'Urgell,Lleida
Cabó,Alt Urgell,La Seu d'Urgell,Lleida
Cava,Alt Urgell,La Seu d'Urgell,Lleida
Coll de Nargó,Alt Urgell,La Seu d'Urgell,Lleida
el Pont de Bar,Alt Urgell,La Seu d'Urgell,Lleida
Estamariu,Alt Urgell,La Seu d'Urgell,Lleida
Fígols i Alinyà,Alt Urgell,La Seu d'Urgell,Lleida
Josa i Tuixén,Alt Urgell,La Seu d'Urgell,Lleida
la Seu d'Urgell,Alt Urgell,La Seu d'Urgell,Lleida
la Vansa i Fórnols,Alt Urgell,La Seu d'Urgell,Lleida
les Valls d'Aguilar,Alt Urgell,La Seu d'Urgell,Lleida
les Valls de Valira,Alt Urgell,La Seu d'Urgell,Lleida
Montferrer i Castellbò,Alt Urgell,La Seu d'Urgell,Lleida
Oliana,Alt Urgell,La Seu d'Urgell,Lleida
Organyà,Alt Urgell,La Seu d'Urgell,Lleida
Peramola,Alt Urgell,La Seu d'Urgell,Lleida
Ribera d'Urgellet,Alt Urgell,La Seu d'Urgell,Lleida
Albinyana,Baix Penedès,El Vendrell,Tarragona
Banyeres del Penedès,Baix Penedès,El Vendrell,Tarragona
Bellvei,Baix Penedès,El Vendrell,Tarragona
Bonastre,Baix Penedès,El Vendrell,Tarragona
Calafell,Baix Penedès,El Vendrell,Tarragona
Cunit,Baix Penedès,El Vendrell,Tarragona
el Montmell,Baix Penedès,El Vendrell,Tarragona
el Vendrell,Baix Penedès,El Vendrell,Tarragona
l'Arboç,Baix Penedès,El Vendrell,Tarragona
la Bisbal del Penedès,Baix Penedès,El Vendrell,Tarragona
Llorenç del Penedès,Baix Penedès,El Vendrell,Tarragona
Masllorenç,Baix Penedès,El Vendrell,Tarragona
Sant Jaume dels Domenys,Baix Penedès,El Vendrell,Tarragona
Santa Oliva,Baix Penedès,El Vendrell,Tarragona
Albons,Baix Empordà,La Bisbal d'Empordà,Girona
Begur,Baix Empordà,La Bisbal d'Empordà,Girona
Bellcaire d'Empordà,Baix Empordà,La Bisbal d'Empordà,Girona
Calonge i Sant Antoni,Baix Empordà,La Bisbal d'Empordà,Girona
Castell-Platja d'Aro,Baix Empordà,La Bisbal d'Empordà,Girona
Colomers,Baix Empordà,La Bisbal d'Empordà,Girona
Corçà,Baix Empordà,La Bisbal d'Empordà,Girona
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,La Bisbal d'Empordà,Girona
Foixà,Baix Empordà,La Bisbal d'Empordà,Girona
Fontanilles,Baix Empordà,La Bisbal d'Empordà,Girona
Forallac,Baix Empordà,La Bisbal d'Empordà,Girona
Garrigoles,Baix Empordà,La Bisbal d'Empordà,Girona
Gualta,Baix Empordà,La Bisbal d'Empordà,Girona
Jafre,Baix Empordà,La Bisbal d'Empordà,Girona
la Bisbal d'Empordà,Baix Empordà,La Bisbal d'Empordà,Girona
la Pera,Baix Empordà,La Bisbal d'Empordà,Girona
la Tallada d'Empordà,Baix Empordà,La Bisbal d'Empordà,Girona
Mont-ras,Baix Empordà,La Bisbal d'Empordà,Girona
Palafrugell,Baix Empordà,La Bisbal d'Empordà,Girona
Palamós,Baix Empordà,La Bisbal d'Empordà,Girona
Palau-sator,Baix Empordà,La Bisbal d'Empordà,Girona
Pals,Baix Empordà,La Bisbal d'Empordà,Girona
Parlavà,Baix Empordà,La Bisbal d'Empordà,Girona
Regencós,Baix Empordà,La Bisbal d'Empordà,Girona
Rupià,Baix Empordà,La Bisbal d'Empordà,Girona
Sant Feliu de Guíxols,Baix Empordà,La Bisbal d'Empordà,Girona
Santa Cristina d'Aro,Baix Empordà,La Bisbal d'Empordà,Girona
Serra de Daró,Baix Empordà,La Bisbal d'Empordà,Girona
Torrent,Baix Empordà,La Bisbal d'Empordà,Girona
Torroella de Montgrí,Baix Empordà,La Bisbal d'Empordà,Girona
Ullà,Baix Empordà,La Bisbal d'Empordà,Girona
Ullastret,Baix Empordà,La Bisbal d'Empordà,Girona
Ultramort,Baix Empordà,La Bisbal d'Empordà,Girona
Vall-llobrega,Baix Empordà,La Bisbal d'Empordà,Girona
Verges,Baix Empordà,La Bisbal d'Empordà,Girona
Vilopriu,Baix Empordà,La Bisbal d'Empordà,Girona
Alcanar,Montsià,Amposta,Tarragona
Amposta,Montsià,Amposta,Tarragona
Godall,Montsià,Amposta,Tarragona
la Galera,Montsià,Amposta,Tarragona
la Sénia,Montsià,Amposta,Tarragona
Mas de Barberans,Montsià,Amposta,Tarragona
Masdenverge,Montsià,Amposta,Tarragona
Sant Carles de la Ràpita,Montsià,Amposta,Tarragona
Sant Jaume d'Enveja,Montsià,Amposta,Tarragona
Santa Bàrbara,Montsià,Amposta,Tarragona
Ulldecona,Montsià,Amposta,Tarragona
Aldover,Baix Ebre,Tortosa,Tarragona
Alfara de Carles,Baix Ebre,Tortosa,Tarragona
Benifallet,Baix Ebre,Tortosa,Tarragona
Camarles,Baix Ebre,Tortosa,Tarragona
Deltebre,Baix Ebre,Tortosa,Tarragona
el Perelló,Baix Ebre,Tortosa,Tarragona
l'Aldea,Baix Ebre,Tortosa,Tarragona
l'Ametlla de Mar,Baix Ebre,Tortosa,Tarragona
l'Ampolla,Baix Ebre,Tortosa,Tarragona
Paüls,Baix Ebre,Tortosa,Tarragona
Roquetes,Baix Ebre,Tortosa,Tarragona
Tivenys,Baix Ebre,Tortosa,Tarragona
Tortosa,Baix Ebre,Tortosa,Tarragona
Xerta,Baix Ebre,Tortosa,Tarragona
Alella,Maresme,Mataró,Barcelona
Arenys de Mar,Maresme,Mataró,Barcelona
Arenys de Munt,Maresme,Mataró,Barcelona
Argentona,Maresme,Mataró,Barcelona
Cabrera de Mar,Maresme,Mataró,Barcelona
Cabrils,Maresme,Mataró,Barcelona
Caldes d'Estrac,Maresme,Mataró,Barcelona
Calella,Maresme,Mataró,Barcelona
Canet de Mar,Maresme,Mataró,Barcelona
Dosrius,Maresme,Mataró,Barcelona
el Masnou,Maresme,Mataró,Barcelona
Malgrat de Mar,Maresme,Mataró,Barcelona
Mataró,Maresme,Mataró,Barcelona
Montgat,Maresme,Mataró,Barcelona
Òrrius,Maresme,Mataró,Barcelona
Palafolls,Maresme,Mataró,Barcelona
Pineda de Mar,Maresme,Mataró,Barcelona
Premià de Dalt,Maresme,Mataró,Barcelona
Premià de Mar,Maresme,Mataró,Barcelona
Sant Andreu de Llavaneres,Maresme,Mataró,Barcelona
Sant Cebrià de Vallalta,Maresme,Mataró,Barcelona
Sant Iscle de Vallalta,Maresme,Mataró,Barcelona
Sant Pol de Mar,Maresme,Mataró,Barcelona
Sant Vicenç de Montalt,Maresme,Mataró,Barcelona
Santa Susanna,Maresme,Mataró,Barcelona
Teià,Maresme,Mataró,Barcelona
Tiana,Maresme,Mataró,Barcelona
Tordera,Maresme,Mataró,Barcelona
Vilassar de Dalt,Maresme,Mataró,Barcelona
Vilassar de Mar,Maresme,Mataró,Barcelona
Alforja,Baix Camp,Reus,Tarragona
Almoster,Baix Camp,Reus,Tarragona
Arbolí,Baix Camp,Reus,Tarragona
Botarell,Baix Camp,Reus,Tarragona
Cambrils,Baix Camp,Reus,Tarragona
Capafonts,Baix Camp,Reus,Tarragona
Castellvell del Camp,Baix Camp,Reus,Tarragona
Colldejou,Baix Camp,Reus,Tarragona
Duesaigües,Baix Camp,Reus,Tarragona
l'Albiol,Baix Camp,Reus,Tarragona
l'Aleixar,Baix Camp,Reus,Tarragona
l'Argentera,Baix Camp,Reus,Tarragona
la Febró,Baix Camp,Reus,Tarragona
la Selva del Camp,Baix Camp,Reus,Tarragona
les Borges del Camp,Baix Camp,Reus,Tarragona
Maspujols,Baix Camp,Reus,Tarragona
Mont-roig del Camp,Baix Camp,Reus,Tarragona
Montbrió del Camp,Baix Camp,Reus,Tarragona
Prades,Baix Camp,Reus,Tarragona
Pratdip,Baix Camp,Reus,Tarragona
Reus,Baix Camp,Reus,Tarragona
Riudecanyes,Baix Camp,Reus,Tarragona
Riudecols,Baix Camp,Reus,Tarragona
Riudoms,Baix Camp,Reus,Tarragona
Vandellòs i l'Hospitalet de l'Infant,Baix Camp,Reus,Tarragona
Vilanova d'Escornalbou,Baix Camp,Reus,Tarragona
Vilaplana,Baix Camp,Reus,Tarragona
Vinyols i els Arcs,Baix Camp,Reus,Tarragona
Alins,Pallars Sobirà,Sort,Lleida
Alt Àneu,Pallars Sobirà,Sort,Lleida
Baix Pallars,Pallars Sobirà,Sort,Lleida
Espot,Pallars Sobirà,Sort,Lleida
Esterri d'Àneu,Pallars Sobirà,Sort,Lleida
Esterri de Cardós,Pallars Sobirà,Sort,Lleida
Farrera,Pallars Sobirà,Sort,Lleida
