Municipi,Comarca,Capital,Provincia
la Guingueta d'Àneu,Pallars Sobirà,Sort,Lleida
Lladorre,Pallars Sobirà,Sort,Lleida
Llavorsí,Pallars Sobirà,Sort,Lleida
Rialp,Pallars Sobirà,Sort,Lleida
Soriguera,Pallars Sobirà,Sort,Lleida
Sort,Pallars Sobirà,Sort,Lleida
Tírvia,Pallars Sobirà,Sort,Lleida
Vall de Cardós,Pallars Sobirà,Sort,Lleida
Alp,Cerdanya,Puigcerdà,Girona
Bellver de Cerdanya,Cerdanya,Puigcerdà,Girona
Bolvir,Cerdanya,Puigcerdà,Girona
Das,Cerdanya,Puigcerdà,Girona
Fontanals de Cerdanya,Cerdanya,Puigcerdà,Girona
Ger,Cerdanya,Puigcerdà,Girona
Guils de Cerdanya,Cerdanya,Puigcerdà,Girona
Isòvol,Cerdanya,Puigcerdà,Girona
Lles de Cerdanya,Cerdanya,Puigcerdà,Girona
Llívia,Cerdanya,Puigcerdà,Girona
Meranges,Cerdanya,Puigcerdà,Girona
Montellà i Martinet,Cerdanya,Puigcerdà,Girona
Prats i Sansor,Cerdanya,Puigcerdà,Girona
Prullans,Cerdanya,Puigcerdà,Girona
Puigcerdà,Cerdanya,Puigcerdà,Girona
Riu de Cerdanya,Cerdanya,Puigcerdà,Girona
Urús,Cerdanya,Puigcerdà,Girona
Alpens,Osona,Vic,Barcelona
Balenyà,Osona,Vic,Barcelona
Calldetenes,Osona,Vic,Barcelona
Centelles,Osona,Vic,Barcelona
el Brull,Osona,Vic,Barcelona
Espinelves,Osona,Vic,Barcelona
Folgueroles,Osona,Vic,Barcelona
Gurb,Osona,Vic,Barcelona
l'Esquirol,Osona,Vic,Barcelona
les Masies de Roda,Osona,Vic,Barcelona
les Masies de Voltregà,Osona,Vic,Barcelona
Lluçà,Osona,Vic,Barcelona
Malla,Osona,Vic,Barcelona
Manlleu,Osona,Vic,Barcelona
Montesquiu,Osona,Vic,Barcelona
Muntanyola,Osona,Vic,Barcelona
Olost,Osona,Vic,Barcelona
Orís,Osona,Vic,Barcelona
Oristà,Osona,Vic,Barcelona
Perafita,Osona,Vic,Barcelona
Prats de Lluçanès,Osona,Vic,Barcelona
Roda de Ter,Osona,Vic,Barcelona
Rupit i Pruit,Osona,Vic,Barcelona
Sant Agustí de Lluçanès,Osona,Vic,Barcelona
Sant Bartomeu del Grau,Osona,Vic,Barcelona
Sant Boi de Lluçanès,Osona,Vic,Barcelona
Sant Hipòlit de Voltregà,Osona,Vic,Barcelona
Sant Julià de Vilatorta,Osona,Vic,Barcelona
Sant Martí d'Albars,Osona,Vic,Barcelona
Sant Martí de Centelles,Osona,Vic,Barcelona
Sant Pere de Torelló,Osona,Vic,Barcelona
Sant Quirze de Besora,Osona,Vic,Barcelona
Sant Sadurní d'Osormort,Osona,Vic,Barcelona
Sant Vicenç de Torelló,Osona,Vic,Barcelona
Santa Cecília de Voltregà,Osona,Vic,Barcelona
Santa Eugènia de Berga,Osona,Vic,Barcelona
Santa Eulàlia de Riuprimer,Osona,Vic,Barcelona
Santa Maria de Besora,Osona,Vic,Barcelona
Seva,Osona,Vic,Barcelona
Sobremunt,Osona,Vic,Barcelona
Sora,Osona,Vic,Barcelona
Taradell,Osona,Vic,Barcelona
Tavèrnoles,Osona,Vic,Barcelona
Tavertet,Osona,Vic,Barcelona
Tona,Osona,Vic,Barcelona
Torelló,Osona,Vic,Barcelona
Vic,Osona,Vic,Barcelona
Vidrà,Osona,Vic,Barcelona
Viladrau,Osona,Vic,Barcelona
Vilanova de Sau,Osona,Vic,Barcelona
Altafulla,Tarragonès,Tarragona,Tarragona
Constantí,Tarragonès,Tarragona,Tarragona
Creixell,Tarragonès,Tarragona,Tarragona
el Catllar,Tarragonès,Tarragona,Tarragona
el Morell,Tarragonès,Tarragona,Tarragona
els Pallaresos,Tarragonès,Tarragona,Tarragona
la Canonja,Tarragonès,Tarragona,Tarragona
la Nou de Gaià,Tarragonès,Tarragona,Tarragona
la Pobla de Mafumet,Tarragonès,Tarragona,Tarragona
la Pobla de Montornès,Tarragonès,Tarragona,Tarragona
la Riera de Gaià,Tarragonès,Tarragona,Tarragona
la Secuita,Tarragonès,Tarragona,Tarragona
Perafort,Tarragonès,Tarragona,Tarragona
Renau,Tarragonès,Tarragona,Tarragona
Roda de Berà,Tarragonès,Tarragona,Tarragona
Salomó,Tarragonès,Tarragona,Tarragona
Salou,Tarragonès,Tarragona,Tarragona
Tarragona,Tarragonès,Tarragona,Tarragona
Torredembarra,Tarragonès,Tarragona,Tarragona
Vespella de Gaià,Tarragonès,Tarragona,Tarragona
Vila-seca,Tarragonès,Tarragona,Tarragona
Vilallonga del Camp,Tarragonès,Tarragona,Tarragona
Amer,Selva,Sta. Coloma de Farners,Girona
Anglès,Selva,Sta. Coloma de Farners,Girona
Arbúcies,Selva,Sta. Coloma de Farners,Girona
Blanes,Selva,Sta. Coloma de Farners,Girona
Breda,Selva,Sta. Coloma de Farners,Girona
Brunyola i Sant Martí Sapresa,Selva,Sta. Coloma de Farners,Girona
Caldes de Malavella,Selva,Sta. Coloma de Farners,Girona
Fogars de la Selva,Selva,Sta. Coloma de Farners,Girona
Hostalric,Selva,Sta. Coloma de Farners,Girona
la Cellera de Ter,Selva,Sta. Coloma de Farners,Girona
Lloret de Mar,Selva,Sta. Coloma de Farners,Girona
Maçanet de la Selva,Selva,Sta. Coloma de Farners,Girona
Massanes,Selva,Sta. Coloma de Farners,Girona
Osor,Selva,Sta. Coloma de Farners,Girona
Riells i Viabrea,Selva,Sta. Coloma de Farners,Girona
Riudarenes,Selva,Sta. Coloma de Farners,Girona
Riudellots de la Selva,Selva,Sta. Coloma de Farners,Girona
Sant Feliu de Buixalleu,Selva,Sta. Coloma de Farners,Girona
Sant Hilari Sacalm,Selva,Sta. Coloma de Farners,Girona
Sant Julià del Llor i Bonmatí,Selva,Sta. Coloma de Farners,Girona
Santa Coloma de Farners,Selva,Sta. Coloma de Farners,Girona
Sils,Selva,Sta. Coloma de Farners,Girona
Susqueda,Selva,Sta. Coloma de Farners,Girona
Tossa de Mar,Selva,Sta. Coloma de Farners,Girona
Vidreres,Selva,Sta. Coloma de Farners,Girona
Vilobí d'Onyar,Selva,Sta. Coloma de Farners,Girona
Arbeca,Garrigues,"Borges Blanques, les",Lleida
Bellaguarda,Garrigues,"Borges Blanques, les",Lleida
Bovera,Garrigues,"Borges Blanques, les",Lleida
Castelldans,Garrigues,"Borges Blanques, les",Lleida
Cervià de les Garrigues,Garrigues,"Borges Blanques, les",Lleida
el Cogul,Garrigues,"Borges Blanques, les",Lleida
el Soleràs,Garrigues,"Borges Blanques, les",Lleida
el Vilosell,Garrigues,"Borges Blanques, les",Lleida
els Omellons,Garrigues,"Borges Blanques, les",Lleida
els Torms,Garrigues,"Borges Blanques, les",Lleida
Fulleda,Garrigues,"Borges Blanques, les",Lleida
Granyena de les Garrigues,Garrigues,"Borges Blanques, les",Lleida
Juncosa,Garrigues,"Borges Blanques, les",Lleida
Juneda,Garrigues,"Borges Blanques, les",Lleida
l'Albagés,Garrigues,"Borges Blanques, les",Lleida
l'Albi,Garrigues,"Borges Blanques, les",Lleida
l'Espluga Calba,Garrigues,"Borges Blanques, les",Lleida
la Floresta,Garrigues,"Borges Blanques, les",Lleida
la Granadella,Garrigues,"Borges Blanques, les",Lleida
la Pobla de Cérvoles,Garrigues,"Borges Blanques, les",Lleida
les Borges Blanques,Garrigues,"Borges Blanques, les",Lleida
Puiggròs,Garrigues,"Borges Blanques, les",Lleida
Tarrés,Garrigues,"Borges Blanques, les",Lleida
Vinaixa,Garrigues,"Borges Blanques, les",Lleida
Argelaguer,Garrotxa,Olot,Girona
Besalú,Garrotxa,Olot,Girona
Beuda,Garrotxa,Olot,Girona
Castellfollit de la Roca,Garrotxa,Olot,Girona
la Vall d'en Bas,Garrotxa,Olot,Girona
la Vall de Bianya,Garrotxa,Olot,Girona
les Planes d'Hostoles,Garrotxa,Olot,Girona
les Preses,Garrotxa,Olot,Girona
Maià de Montcal,Garrotxa,Olot,Girona
Mieres,Garrotxa,Olot,Girona
Montagut i Oix,Garrotxa,Olot,Girona
Olot,Garrotxa,Olot,Girona
Riudaura,Garrotxa,Olot,Girona
Sales de Llierca,Garrotxa,Olot,Girona
Sant Aniol de Finestres,Garrotxa,Olot,Girona
Sant Feliu de Pallerols,Garrotxa,Olot,Girona
Sant Ferriol,Garrotxa,Olot,Girona
Sant Jaume de Llierca,Garrotxa,Olot,Girona
Sant Joan les Fonts,Garrotxa,Olot,Girona
Santa Pau,Garrotxa,Olot,Girona
Tortellà,Garrotxa,Olot,Girona
Argençola,Anoia,Igualada,Barcelona
Bellprat,Anoia,Igualada,Barcelona
Cabrera d'Anoia,Anoia,Igualada,Barcelona
Calaf,Anoia,Igualada,Barcelona
Calonge de Segarra,Anoia,Igualada,Barcelona
Capellades,Anoia,Igualada,Barcelona
Carme,Anoia,Igualada,Barcelona
Castellfollit de Riubregós,Anoia,Igualada,Barcelona
Castellolí,Anoia,Igualada,Barcelona
Copons,Anoia,Igualada,Barcelona
el Bruc,Anoia,Igualada,Barcelona
els Hostalets de Pierola,Anoia,Igualada,Barcelona
els Prats de Rei,Anoia,Igualada,Barcelona
Igualada,Anoia,Igualada,Barcelona
Jorba,Anoia,Igualada,Barcelona
la Llacuna,Anoia,Igualada,Barcelona
la Pobla de Claramunt,Anoia,Igualada,Barcelona
la Torre de Claramunt,Anoia,Igualada,Barcelona
Masquefa,Anoia,Igualada,Barcelona
Montmaneu,Anoia,Igualada,Barcelona
Òdena,Anoia,Igualada,Barcelona
Orpí,Anoia,Igualada,Barcelona
Piera,Anoia,Igualada,Barcelona
Pujalt,Anoia,Igualada,Barcelona
Rubió,Anoia,Igualada,Barcelona
Sant Martí de Tous,Anoia,Igualada,Barcelona
Sant Martí Sesgueioles,Anoia,Igualada,Barcelona
Sant Pere Sallavinera,Anoia,Igualada,Barcelona
Santa Margarida de Montbui,Anoia,Igualada,Barcelona
Santa Maria de Miralles,Anoia,Igualada,Barcelona
Vallbona d'Anoia,Anoia,Igualada,Barcelona
Veciana,Anoia,Igualada,Barcelona
Vilanova del Camí,Anoia,Igualada,Barcelona
Arnes,Terra Alta,Gandesa,Tarragona
Batea,Terra Alta,Gandesa,Tarragona
Bot,Terra Alta,Gandesa,Tarragona
Caseres,Terra Alta,Gandesa,Tarragona
Corbera d'Ebre,Terra Alta,Gandesa,Tarragona
el Pinell de Brai,Terra Alta,Gandesa,Tarragona
Gandesa,Terra Alta,Gandesa,Tarragona
Horta de Sant Joan,Terra Alta,Gandesa,Tarragona
la Fatarella,Terra Alta,Gandesa,Tarragona
la Pobla de Massaluca,Terra Alta,Gandesa,Tarragona
Prat de Comte,Terra Alta,Gandesa,Tarragona
Vilalba dels Arcs,Terra Alta,Gandesa,Tarragona
Arres,Vall d'Aran,Vielha e Mijaran,Lleida
Bausen,Vall d'Aran,Vielha e Mijaran,Lleida
Bossòst,Vall d'Aran,Vielha e Mijaran,Lleida
Canejan,Vall d'Aran,Vielha e Mijaran,Lleida
Es Bòrdes,Vall d'Aran,Vielha e Mijaran,Lleida
Les,Vall d'Aran,Vielha e Mijaran,Lleida
Naut Aran,Vall d'Aran,Vielha e Mijaran,Lleida
Vielha e Mijaran,Vall d'Aran,Vielha e Mijaran,Lleida
Vilamòs,Vall d'Aran,Vielha e Mijaran,Lleida
Ascó,Ribera d'Ebre,Móra d'Ebre,Tarragona
Benissanet,Ribera d'Ebre,Móra d'Ebre,Tarragona
Flix,Ribera d'Ebre,Móra d'Ebre,Tarragona
Garcia,Ribera d'Ebre,Móra d'Ebre,Tarragona
Ginestar,Ribera d'Ebre,Móra d'Ebre,Tarragona
la Palma d'Ebre,Ribera d'Ebre,Móra d'Ebre,Tarragona
la Torre de l'Espanyol,Ribera d'Ebre,Móra d'Ebre,Tarragona
Miravet,Ribera d'Ebre,Móra d'Ebre,Tarragona
Móra d'Ebre,Ribera d'Ebre,Móra d'Ebre,Tarragona
Móra la Nova,Ribera d'Ebre,Móra d'Ebre,Tarragona
Rasquera,Ribera d'Ebre,Móra d'Ebre,Tarragona
Riba-roja d'Ebre,Ribera d'Ebre,Móra d'Ebre,Tarragona
Tivissa,Ribera d'Ebre,Móra d'Ebre,Tarragona
Vinebre,Ribera d'Ebre,Móra d'Ebre,Tarragona
Avià,Berguedà,Berga,Barcelona
Bagà,Berguedà,Berga,Barcelona
Berga,Berguedà,Berga,Barcelona
Borredà,Berguedà,Berga,Barcelona
Capolat,Berguedà,Berga,Barcelona
Casserres,Berguedà,Berga,Barcelona
Castell de l'Areny,Berguedà,Berga,Barcelona
Castellar de n'Hug,Berguedà,Berga,Barcelona
Castellar del Riu,Berguedà,Berga,Barcelona
Cercs,Berguedà,Berga,Barcelona
Fígols,Berguedà,Berga,Barcelona
Gironella,Berguedà,Berga,Barcelona
Gisclareny,Berguedà,Berga,Barcelona
Gósol,Berguedà,Berga,Barcelona
Guardiola de Berguedà,Berguedà,Berga,Barcelona
l'Espunyola,Berguedà,Berga,Barcelona
la Nou de Berguedà,Berguedà,Berga,Barcelona
la Pobla de Lillet,Berguedà,Berga,Barcelona
la Quar,Berguedà,Berga,Barcelona
Montclar,Berguedà,Berga,Barcelona
Montmajor,Berguedà,Berga,Barcelona
Olvan,Berguedà,Berga,Barcelona
Puig-reig,Berguedà,Berga,Barcelona
Sagàs,Berguedà,Berga,Barcelona
Saldes,Berguedà,Berga,Barcelona
Sant Jaume de Frontanyà,Berguedà,Berga,Barcelona
Sant Julià de Cerdanyola,Berguedà,Berga,Barcelona
Santa Maria de Merlès,Berguedà,Berga,Barcelona
Vallcebre,Berguedà,Berga,Barcelona
Vilada,Berguedà,Berga,Barcelona
Viver i Serrateix,Berguedà,Berga,Barcelona
Avinyonet del Penedès,Alt Penedès,Vilafranca del Penedès,Barcelona
Castellet i la Gornal,Alt Penedès,Vilafranca del Penedès,Barcelona
Castellví de la Marca,Alt Penedès,Vilafranca del Penedès,Barcelona
el Pla del Penedès,Alt Penedès,Vilafranca del Penedès,Barcelona
Font-rubí,Alt Penedès,Vilafranca del Penedès,Barcelona
Gelida,Alt Penedès,Vilafranca del Penedès,Barcelona
la Granada,Alt Penedès,Vilafranca del Penedès,Barcelona
les Cabanyes,Alt Penedès,Vilafranca del Penedès,Barcelona
Mediona,Alt Penedès,Vilafranca del Penedès,Barcelona
Olèrdola,Alt Penedès,Vilafranca del Penedès,Barcelona
Olesa de Bonesvalls,Alt Penedès,Vilafranca del Penedès,Barcelona
Pacs del Penedès,Alt Penedès,Vilafranca del Penedès,Barcelona
Pontons,Alt Penedès,Vilafranca del Penedès,Barcelona
Puigdàlber,Alt Penedès,Vilafranca del Penedès,Barcelona
Sant Cugat Sesgarrigues,Alt Penedès,Vilafranca del Penedès,Barcelona
Sant Llorenç d'Hortons,Alt Penedès,Vilafranca del Penedès,Barcelona
Sant Martí Sarroca,Alt Penedès,Vilafranca del Penedès,Barcelona
Sant Pere de Riudebitlles,Alt Penedès,Vilafranca del Penedès,Barcelona
Sant Quintí de Mediona,Alt Penedès,Vilafranca del Penedès,Barcelona
Sant Sadurní d'Anoia,Alt Penedès,Vilafranca del Penedès,Barcelona
Santa Fe del Penedès,Alt Penedès,Vilafranca del Penedès,Barcelona
Santa Margarida i els Monjos,Alt Penedès,Vilafranca del Penedès,Barcelona
Subirats,Alt Penedès,Vilafranca del Penedès,Barcelona
Torrelavit,Alt Penedès,Vilafranca del Penedès,Barcelona
Torrelles de Foix,Alt Penedès,Vilafranca del Penedès,Barcelona
Vilafranca del Penedès,Alt Penedès,Vilafranca del Penedès,Barcelona
Vilobí del Penedès,Alt Penedès,Vilafranca del Penedès,Barcelona
Badalona,Barcelonès,Barcelona,Barcelona
Barcelona,Barcelonès,Barcelona,Barcelona
l'Hospitalet de Llobregat,Barcelonès,Barcelona,Barcelona
Sant Adrià de Besòs,Barcelonès,Barcelona,Barcelona
Santa Coloma de Gramenet,Barcelonès,Barcelona,Barcelona
Badia del Vallès,Vallès Occidental,Sabadell i Terrassa,Barcelona
Barberà del Vallès,Vallès Occidental,Sabadell i Terrassa,Barcelona
Castellar del Vallès,Vallès Occidental,Sabadell i Terrassa,Barcelona
Castellbisbal,Vallès Occidental,Sabadell i Terrassa,Barcelona
Cerdanyola del Vallès,Vallès Occidental,Sabadell i Terrassa,Barcelona
Gallifa,Vallès Occidental,Sabadell i Terrassa,Barcelona
Matadepera,Vallès Occidental,Sabadell i Terrassa,Barcelona
Montcada i Reixac,Vallès Occidental,Sabadell i Terrassa,Barcelona
Palau-solità i Plegamans,Vallès Occidental,Sabadell i Terrassa,Barcelona
Polinyà,Vallès Occidental,Sabadell i Terrassa,Barcelona
Rellinars,Vallès Occidental,Sabadell i Terrassa,Barcelona
Ripollet,Vallès Occidental,Sabadell i Terrassa,Barcelona
Rubí,Vallès Occidental,Sabadell i Terrassa,Barcelona
Sabadell,Vallès Occidental,Sabadell i Terrassa,Barcelona
Sant Cugat del Vallès,Vallès Occidental,Sabadell i Terrassa,Barcelona
Sant Llorenç Savall,Vallès Occidental,Sabadell i Terrassa,Barcelona
Sant Quirze del Vallès,Vallès Occidental,Sabadell i Terrassa,Barcelona
Santa Perpètua de Mogoda,Vallès Occidental,Sabadell i Terrassa,Barcelona
Sentmenat,Vallès Occidental,Sabadell i Terrassa,Barcelona
Terrassa,Vallès Occidental,Sabadell i Terrassa,Barcelona
Ullastrell,Vallès Occidental,Sabadell i Terrassa,Barcelona
Vacarisses,Vallès Occidental,Sabadell i Terrassa,Barcelona
Viladecavalls,Vallès Occidental,Sabadell i Terrassa,Barcelona
Banyoles,Pla de l'Estany,Banyoles,Girona
Camós,Pla de l'Estany,Banyoles,Girona
Cornellà del Terri,Pla de l'Estany,Banyoles,Girona
Crespià,Pla de l'Estany,Banyoles,Girona
Esponellà,Pla de l'Estany,Banyoles,Girona
Fontcoberta,Pla de l'Estany,Banyoles,Girona
Palol de Revardit,Pla de l'Estany,Banyoles,Girona
Porqueres,Pla de l'Estany,Banyoles,Girona
Sant Miquel de Campmajor,Pla de l'Estany,Banyoles,Girona
Serinyà,Pla de l'Estany,Banyoles,Girona
Vilademuls,Pla de l'Estany,Banyoles,Girona
Barbens,Pla d'Urgell,Mollerussa,Lleida
Bell-lloc d'Urgell,Pla d'Urgell,Mollerussa,Lleida
Bellvís,Pla d'Urgell,Mollerussa,Lleida
Castellnou de Seana,Pla d'Urgell,Mollerussa,Lleida
el Palau d'Anglesola,Pla d'Urgell,Mollerussa,Lleida
el Poal,Pla d'Urgell,Mollerussa,Lleida
Fondarella,Pla d'Urgell,Mollerussa,Lleida
Golmés,Pla d'Urgell,Mollerussa,Lleida
Ivars d'Urgell,Pla d'Urgell,Mollerussa,Lleida
Linyola,Pla d'Urgell,Mollerussa,Lleida
Miralcamp,Pla d'Urgell,Mollerussa,Lleida
Mollerussa,Pla d'Urgell,Mollerussa,Lleida
Sidamon,Pla d'Urgell,Mollerussa,Lleida
Torregrossa,Pla d'Urgell,Mollerussa,Lleida
Vila-sana,Pla d'Urgell,Mollerussa,Lleida
Vilanova de Bellpuig,Pla d'Urgell,Mollerussa,Lleida
Barberà de la Conca,Conca de Barberà,Montblanc,Tarragona
Blancafort,Conca de Barberà,Montblanc,Tarragona
Conesa,Conca de Barberà,Montblanc,Tarragona
Forès,Conca de Barberà,Montblanc,Tarragona
l'Espluga de Francolí,Conca de Barberà,Montblanc,Tarragona
les Piles,Conca de Barberà,Montblanc,Tarragona
Llorac,Conca de Barberà,Montblanc,Tarragona
Montblanc,Conca de Barberà,Montblanc,Tarragona
Passanant i Belltall,Conca de Barberà,Montblanc,Tarragona
Pira,Conca de Barberà,Montblanc,Tarragona
Pontils,Conca de Barberà,Montblanc,Tarragona
Rocafort de Queralt,Conca de Barberà,Montblanc,Tarragona
Santa Coloma de Queralt,Conca de Barberà,Montblanc,Tarragona
Sarral,Conca de Barberà,Montblanc,Tarragona
Savallà del Comtat,Conca de Barberà,Montblanc,Tarragona
Senan,Conca de Barberà,Montblanc,Tarragona
Solivella,Conca de Barberà,Montblanc,Tarragona
Vallclara,Conca de Barberà,Montblanc,Tarragona
Vallfogona de Riucorb,Conca de Barberà,Montblanc,Tarragona
Vilanova de Prades,Conca de Barberà,Montblanc,Tarragona
Vilaverd,Conca de Barberà,Montblanc,Tarragona
Vimbodí i Poblet,Conca de Barberà,Montblanc,Tarragona
Bellmunt del Priorat,Priorat,Falset,Tarragona
Cabacés,Priorat,Falset,Tarragona
Capçanes,Priorat,Falset,Tarragona
Cornudella de Montsant,Priorat,Falset,Tarragona
el Lloar,Priorat,Falset,Tarragona
el Masroig,Priorat,Falset,Tarragona
el Molar,Priorat,Falset,Tarragona
els Guiamets,Priorat,Falset,Tarragona
Falset,Priorat,Falset,Tarragona
Gratallops,Priorat,Falset,Tarragona
la Bisbal de Falset,Priorat,Falset,Tarragona
la Figuera,Priorat,Falset,Tarragona
la Morera de Montsant,Priorat,Falset,Tarragona
la Torre de Fontaubella,Priorat,Falset,Tarragona
la Vilella Alta,Priorat,Falset,Tarragona
la Vilella Baixa,Priorat,Falset,Tarragona
Marçà,Priorat,Falset,Tarragona
Margalef,Priorat,Falset,Tarragona
Poboleda,Priorat,Falset,Tarragona
Porrera,Priorat,Falset,Tarragona
Pradell de la Teixeta,Priorat,Falset,Tarragona
Torroja del Priorat,Priorat,Falset,Tarragona
Ulldemolins,Priorat,Falset,Tarragona
Biosca,Segarra,Cervera,Lleida
Cervera,Segarra,Cervera,Lleida
els Plans de Sió,Segarra,Cervera,Lleida
Estaràs,Segarra,Cervera,Lleida
Granyanella,Segarra,Cervera,Lleida
Granyena de Segarra,Segarra,Cervera,Lleida
Guissona,Segarra,Cervera,Lleida
Ivorra,Segarra,Cervera,Lleida
les Oluges,Segarra,Cervera,Lleida
Massoteres,Segarra,Cervera,Lleida
Montoliu de Segarra,Segarra,Cervera,Lleida
Montornès de Segarra,Segarra,Cervera,Lleida
Ribera d'Ondara,Segarra,Cervera,Lleida
Sanaüja,Segarra,Cervera,Lleida
Sant Guim de Freixenet,Segarra,Cervera,Lleida
Sant Guim de la Plana,Segarra,Cervera,Lleida
Sant Ramon,Segarra,Cervera,Lleida
Talavera,Segarra,Cervera,Lleida
Tarroja de Segarra,Segarra,Cervera,Lleida
Torà,Segarra,Cervera,Lleida
Torrefeta i Florejacs,Segarra,Cervera,Lleida
Calders,Moianès,Moià,Barcelona
Castellcir,Moianès,Moià,Barcelona
Castellterçol,Moianès,Moià,Barcelona
Collsuspina,Moianès,Moià,Barcelona
Granera,Moianès,Moià,Barcelona
l'Estany,Moianès,Moià,Barcelona
Moià,Moianès,Moià,Barcelona
Monistrol de Calders,Moianès,Moià,Barcelona
Sant Quirze Safaja,Moianès,Moià,Barcelona
Santa Maria d'Oló,Moianès,Moià,Barcelona
Campdevànol,Ripollès,Ripoll,Girona
Campelles,Ripollès,Ripoll,Girona
Camprodon,Ripollès,Ripoll,Girona
Gombrèn,Ripollès,Ripoll,Girona
les Llosses,Ripollès,Ripoll,Girona
Llanars,Ripollès,Ripoll,Girona
Molló,Ripollès,Ripoll,Girona
Ogassa,Ripollès,Ripoll,Girona
Pardines,Ripollès,Ripoll,Girona
Planoles,Ripollès,Ripoll,Girona
Queralbs,Ripollès,Ripoll,Girona
Ribes de Freser,Ripollès,Ripoll,Girona
Ripoll,Ripollès,Ripoll,Girona
Sant Joan de les Abadesses,Ripollès,Ripoll,Girona
Sant Pau de Segúries,Ripollès,Ripoll,Girona
Setcases,Ripollès,Ripoll,Girona
Toses,Ripollès,Ripoll,Girona
Vallfogona de Ripollès,Ripollès,Ripoll,Girona
Vilallonga de Ter,Ripollès,Ripoll,Girona
Canyelles,Garraf,Vilanova i la Geltrú,Barcelona
Cubelles,Garraf,Vilanova i la Geltrú,Barcelona
Olivella,Garraf,Vilanova i la Geltrú,Barcelona
Sant Pere de Ribes,Garraf,Vilanova i la Geltrú,Barcelona
Sitges,Garraf,Vilanova i la Geltrú,Barcelona
Vilanova i la Geltrú,Garraf,Vilanova i la Geltrú,Barcelona
Castellar de la Ribera,Solsonès,Solsona,Lleida
Clariana de Cardener,Solsonès,Solsona,Lleida
Guixers,Solsonès,Solsona,Lleida
la Coma i la Pedra,Solsonès,Solsona,Lleida
la Molsosa,Solsonès,Solsona,Lleida
Lladurs,Solsonès,Solsona,Lleida
Llobera,Solsonès,Solsona,Lleida
Navès,Solsonès,Solsona,Lleida
Odèn,Solsonès,Solsona,Lleida
Olius,Solsonès,Solsona,Lleida
Pinell de Solsonès,Solsonès,Solsona,Lleida
Pinós,Solsonès,Solsona,Lleida
Riner,Solsonès,Solsona,Lleida
Sant Llorenç de Morunys,Solsonès,Solsona,Lleida
Solsona,Solsonès,Solsona,Lleida
el Pont de Suert,Alta Ribagorça,El Pont de Suert,Lleida
la Vall de Boí,Alta Ribagorça,El Pont de Suert,Lleida
Vilaller,Alta Ribagorça,El Pont de Suert,Lleida
,Catalunya,,
